timestamp,cpuTotal,cpuUser,cpuSystem,cpuIdle
2026-06-14 13:35:31,29.2169,17.5703,11.6466,70.7831
2026-06-14 13:35:33,11.3226,5.8116,5.5110,88.6774
2026-06-14 13:35:35,5.2500,3.2500,2.0000,94.7500
2026-06-14 13:35:37,4.1604,2.7068,1.4536,95.8396
2026-06-14 13:35:39,7.9158,5.5611,2.3547,92.0842
2026-06-14 13:35:41,5.3133,3.5088,1.8045,94.6867
2026-06-14 13:35:43,3.5571,2.2545,1.3026,96.4429
2026-06-14 13:35:45,3.6518,2.3512,1.3007,96.3482
2026-06-14 13:35:47,5.4190,3.2112,2.2077,94.5810
2026-06-14 13:40:09,31.7476,26.6400,5.1077,68.2524
2026-06-14 13:40:11,10.9829,5.8676,5.1153,89.0171
2026-06-14 13:40:13,4.7094,2.9559,1.7535,95.2906
2026-06-14 13:40:15,3.8558,2.5038,1.3520,96.1442
2026-06-14 13:40:17,13.7206,8.5128,5.2078,86.2794
2026-06-14 13:40:19,5.0150,3.4604,1.5547,94.9850
2026-06-14 13:40:21,2.9015,1.8509,1.0505,97.0985
2026-06-14 13:40:23,4.3108,2.7569,1.5539,95.6892
2026-06-14 13:40:25,3.2032,1.9520,1.2513,96.7968
2026-06-14 13:40:27,4.3609,2.7068,1.6541,95.6391
2026-06-14 13:40:29,3.5035,2.2523,1.2513,96.4965
2026-06-14 13:40:31,3.2016,2.1511,1.0505,96.7984
2026-06-14 13:40:33,3.2549,2.0030,1.2519,96.7451
2026-06-14 13:40:35,3.3033,2.2022,1.1011,96.6967
2026-06-14 13:40:37,5.2579,3.2549,2.0030,94.7421
2026-06-14 14:04:51,29.4118,15.5354,13.8763,70.5882
2026-06-14 14:04:53,10.6319,5.4162,5.2156,89.3681
2026-06-14 14:04:55,3.2565,2.0541,1.2024,96.7435
2026-06-14 14:04:57,2.8000,1.3500,1.4500,97.2000
2026-06-14 14:04:59,8.2541,5.7529,2.5013,91.7459
2026-06-14 14:05:01,5.4746,3.9176,1.5570,94.5254
2026-06-14 14:05:03,4.1583,2.7054,1.4529,95.8417
2026-06-14 14:05:05,3.4552,2.1032,1.3520,96.5448
2026-06-14 14:05:07,4.7118,3.0075,1.7043,95.2882
2026-06-14 14:05:09,7.5226,4.4634,3.0592,92.4774
2026-06-14 14:05:11,4.0663,2.5602,1.5060,95.9337
2026-06-14 14:05:13,4.9599,3.0060,1.9539,95.0401
2026-06-14 14:05:15,6.4160,4.4110,2.0050,93.5840
2026-06-14 14:05:17,1.2018,0.7511,0.4507,98.7982
2026-06-14 14:05:19,1.2000,0.7000,0.5000,98.8000
2026-06-14 14:05:21,3.2516,1.8509,1.4007,96.7484
2026-06-14 14:05:23,1.5045,0.8024,0.7021,98.4955
2026-06-14 14:05:25,1.9010,1.1006,0.8004,98.0990
2026-06-14 14:05:27,3.5536,1.6016,1.9520,96.4464
2026-06-14 14:05:29,8.5256,5.7172,2.8084,91.4744
2026-06-14 14:05:31,6.3253,4.2169,2.1084,93.6747
2026-06-14 14:05:33,8.8855,6.1747,2.7108,91.1145
2026-06-14 14:05:35,13.4336,10.8772,2.5564,86.5664
2026-06-14 14:05:37,6.9709,5.0150,1.9559,93.0291
2026-06-14 14:05:39,6.1184,4.1625,1.9559,93.8816
2026-06-14 14:05:41,5.9000,4.1000,1.8000,94.1000
2026-06-14 14:05:43,5.8824,4.0724,1.8100,94.1176
2026-06-14 14:05:45,4.3043,2.9530,1.3514,95.6957
2026-06-14 14:05:47,5.5695,3.0607,2.5088,94.4305
2026-06-14 14:05:49,5.8145,3.6591,2.1554,94.1855
2026-06-14 14:05:51,3.8655,2.2590,1.6064,96.1345
2026-06-14 14:05:53,10.8936,6.9779,3.9157,89.1064
2026-06-14 14:05:55,13.4770,11.8737,1.6032,86.5230
2026-06-14 14:05:57,18.3049,15.3962,2.9087,81.6951
2026-06-14 14:05:59,14.0711,12.5689,1.5023,85.9289
2026-06-14 14:06:01,7.1071,5.3554,1.7518,92.8929
2026-06-14 14:06:03,3.3099,2.3069,1.0030,96.6901
2026-06-14 14:06:05,3.5982,2.3488,1.2494,96.4018
2026-06-14 14:06:07,5.7760,3.9176,1.8584,94.2240
2026-06-14 14:06:09,4.7118,2.8070,1.9048,95.2882
2026-06-14 14:06:11,4.0060,2.4036,1.6024,95.9940
2026-06-14 14:06:13,7.7850,4.7212,3.0638,92.2150
